Address,Latitude,Longitude
"116 Rathdowne St, Melbourne, Victoria 3053 Australia",-37.796915,144.970804
"268 Park St South Melbourne, Melbourne, Victoria 3205 Australia",-37.8337881,144.9665459
"493-495 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8111318,144.9700291
"190 Wells St, Melbourne, Victoria 3205 Australia",-37.831928,144.969691
"66 Bourke St, Melbourne, Victoria 3000 Australia",-37.811722,144.971173
"408 Queen St, Melbourne, Victoria 3000 Australia",-37.8091311,144.9582371
"551-553 Mount Alexander Rd, Moonee Ponds, Moonee Valley, Victoria 3039 Australia",-37.76942855,144.92535672559222
"115 Collins St, Melbourne, Victoria 3000 Australia",-37.98009935,145.06702561695593
"241 Swanston St, Melbourne, Victoria 3000 Australia",-37.8123623,144.9648857
"240 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.8015651,144.9671352
"299 Lygon St, Carlton, Melbourne, Victoria 3053 Australia",-37.7983068,144.9671467
"1 Bay St, Melbourne, Victoria 3207 Australia",-37.84280595,144.9380807
"144 Ormond Rd, Elwood, Port Phillip, Victoria 3184 Australia",-37.8863787,144.9889713
"37 South Wharf Promenade, Melbourne, Victoria 3008 Australia",-37.8240594,144.9507459
"45 Collins St, Melbourne, Victoria 3000 Australia",-37.8139283,144.9730893
"186 High St, Kew, Boroondara, Victoria 3101 Australia",-37.8057905,145.0335515
"60 Siddeley St, Melbourne, Victoria 3008 Australia",-37.8226764,144.9524323
"43 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8108831,144.9713487
"3 Southgate Ave Southbank, Melbourne, Victoria 3006 Australia",-37.8201768,144.966393
"12 High St, Glen Iris, Stonnington, Victoria 3146 Australia",-37.8601002,145.0575369
"1 Parliament Pl, Melbourne, Victoria 3002 Australia",-37.8112924,144.9754803
"11-13 Carlisle St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8670378,144.9793105
"280 Ferrars St, Melbourne, Victoria 3205 Australia",-37.8353661,144.95578885531654
"42-44 King St, Melbourne, Victoria 3000 Australia",-37.819162,144.95733
"12 Goldie Pl, Melbourne, Victoria 3000 Australia",-37.8132486,144.9605705
"14 Bourke St, Melbourne, Victoria 3000 Australia",-37.811343,144.972443
"141 Queen St, Melbourne, Victoria 3000 Australia",-37.8075659,144.9579251
"99 Dundas Pl, Albert Park, Port Phillip, Victoria 3206 Australia",-37.84129905,144.95522882467014
"245 Swanston St, Melbourne, Victoria 3000 Australia",-37.81239600833333,144.96488846666668
"15 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8142684,144.961446
"437 Church St, Richmond, Yarra, Victoria 3121 Australia",-37.8342952,144.9965962
"136-138 Rouse St, Melbourne, Victoria 3207 Australia",-37.8432735,144.9415108
"Crown Complex Southbank, Melbourne, Victoria 3006 Australia",-37.82333165,144.95828578718215
"87-91 Acland St St.Kilda, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8691544,144.9803056
"470 Collins St, Melbourne, Victoria 3000 Australia",-37.8174452,144.9584024
"116 Lygon St, Brunswick East, Moreland, Victoria 3057 Australia",-37.7748659,144.971281
"16 Liverpool St, Melbourne, Victoria 3000 Australia",-37.811212,144.9714931
"582 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8174116,144.9553584
"300 Smith St, Collingwood, Yarra, Victoria 3066 Australia",-37.800233,144.984221
"121 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.81566215,144.97047858539563
